0,0.1,3,8,10,2
1,-1,-1,-1,-1,-1
2,0.1,5,5,10,2
3,0.1,2,10,5.5,2
4,0.1,5,15,10,2
5,0.02,3,5,10,2
6,0.1,5,5,10,2
7,0.05,3,5,10,2
8,0.1,2,10,10,2
9,0.02,5,3,10,2
10,0.1,3,5,7,2
11,0.1,3,5,10,2
12,-1,-1,-1,-1,-1
13,0.1,2,5,10,2
14,-1,-1,-1,-1,-1
15,0.05,2,5,10,2
16,0.1,3,10,10,2
17,0.02,2,7,10,2
18,0.1,3,7,10,2
19,0.1,3,10,10,0
20,0.1,1,10,7,0
21,0.1,3,5,10,2
22,0.01,3,3,10,2
23,0.05,3,5,10,2
24,0.05,3,3,10,2
25,0.5,3,5,20,2
26,0.05,3,3,10,2
27,0.05,3,3,10,2
28,0.05,3,3,10,2
29,0.05,3,3,10,0
30,0.05,3,5,10,0
31,0.05,3,5,10,2
32,0.05,3,5,10,2
33,0.1,2,10,10,0
34,-1,-1,-1,-1,-1
35,0.5,2,10,10,0
36,-1,-1,-1,-1,-1
37,0.03,3,4,10,0
38,0.05,3,5,10,2
39,0.1,2,10,10,2
40,0.05,3,2,5,1
41,0.1,3,12,10,1
42,0.05,5,3,20,-1
43,0.02,3,5,10,2
44,0.05,3,5,10,2
45,0.05,3,12,10,2
46,0.05,3,5,10,0
47,0.05,3,5,10,2
48,0.1,2,5,10,2
49,0.01,3,5,10,2
50,0.1,2,10,5,0
51,0.05,3,5,10,2
52,0.05,3,1,10,2
53,0.05,5,5,10,2
54,0.05,3,5,7,2
55,0.05,3,3,10,2
56,0.03,3,3,10,2
57,0.03,5,3,10,-1
58,0.05,3,5,10,2
59,0.05,5,5,40,1
60,0.05,4,5,10,2
61,0.05,3,5,10,0
62,0.05,3,3,10,0
63,0.05,3,5,10,2
64,-1,-1,-1,-1,-1
65,0.1,3,10,10,0
66,0.05,3,10,10,1
67,0.02,3,5,10,2
68,-1,-1,-1,-1,-1
69,0.05,3,3,10,2
70,0.05,7,5,10,2
71,0.01,5,3,10,2
72,0.05,3,3,10,0
73,0.05,3,5,7,2
74,0.05,3,3,10,2
75,0.1,2,5,10,2
76,0.05,3,3,10,2
77,0.05,5,3,10,2
78,0.02,5,3,10,2
79,-1,-1,-1,-1,-1
80,-1,-1,-1,-1,-1
81,-1,-1,-1,-1,-1
82,0.01,3,5,10,2
83,0.05,3,5,10,0
84,0.05,3,3,10,2
85,0.02,3,3,10,2
86,0.05,3,10,10,0
87,0.05,3,3,10,2
88,-1,-1,-1,-1,-1
